id;start_date;end_date;language
1;2022-02-28T05:23:50;2022-02-28T03:14:05;ENGLISH
2;2022-02-27T14:51:25;2022-02-28T00:16:54;FRENCH
3;2022-02-28T00:47:37;2022-02-27T12:52:45;SPANISH
4;2022-02-28T05:18:26;2022-02-27T10:44:45;FRENCH
5;2022-02-28T07:34:49;2022-02-27T15:53:47;ENGLISH
6;2022-02-27T17:05:32;2022-02-28T07:05:52;SPANISH
7;2022-02-28T01:09:20;2022-02-27T11:43:29;FRENCH
8;2022-02-27T15:35:13;2022-02-27T12:11:02;FRENCH
9;2022-02-27T16:26:51;2022-02-28T03:58:17;FRENCH
10;2022-02-27T12:23:49;2022-02-28T05:21:18;FRENCH
